x,y
0.714360769,0.985714164
0.970270247,0.976963169
1.191282978,0.973267361
1.379060711,0.897811776
1.516985949,0.862987833
1.761263178,0.845358402
2.017172656,0.836267563
2.273082133,0.828026335
2.528991611,0.819870068
2.703475346,0.805044353
2.796533338,0.776929304
2.912855828,0.754577451
3.110604061,0.726497802
3.366513538,0.72479858
3.622423016,0.704832718
3.878332494,0.689114911
4.134241972,0.668384399
4.308725706,0.656447363
4.61116418,0.643363351
4.72748667,0.616243448
4.820544662,0.593363735
4.855441409,0.566884187
4.913602654,0.534745285
4.983396148,0.51299052
5.041557393,0.489003165
5.181144381,0.451053867
5.437053858,0.4474855
5.692963336,0.436780399
5.948872814,0.431682732
6.204782292,0.427859482
6.460691769,0.422931738
6.6817045,0.412524001
6.809659239,0.383396499
6.867820484,0.355748736
6.949246227,0.337290933
7.088833215,0.313822785
7.903090644,0.297000485
8.135735624,0.282491014
8.409093475,0.27000173
8.647554579,0.265328869
8.913157598,0.263522029
9.149679994,0.250713197
9.415283012,0.24867649
9.67119249,0.248506568
9.927101968,0.248506568
10.18301145,0.248506568
10.43892092,0.248506568
10.6948304,0.248280005
10.88094638,0.238288578
11.04379787,0.209202612
11.29970735,0.178179398
11.55561683,0.170002498
11.8115263,0.170002498
12.06743578,0.170002498
12.24191952,0.160656775
12.41640325,0.14578858
12.67231273,0.145703619
12.92822221,0.145703619
13.18413168,0.138991691
13.44004116,0.132619607
13.6377894,0.123273884
13.80064088,0.098157255
13.99838911,0.081133171
14.25429859,0.081218132
14.51020807,0.081218132
14.76611755,0.081218132
15.02202702,0.081218132
15.2779365,0.081218132
15.53384598,0.081218132
15.78975546,0.081218132
16.04566494,0.081218132
16.30157441,0.081897821
16.5109549,0.081218132
16.66411284,0.04219974
16.92971586,0.041031525
17.18562534,0.041031525
17.44153481,0.041031525
17.69744429,0.041031525
17.95335377,0.041031525
18,0.041031525
18.46517273,0.041031525
18.7210822,0.041031525
18.97699168,0.041031525
19.23290116,0.041201447
19.40738489,0.042433383
