x,y
0.092097509,1.000071685
0.348255684,0.998862248
0.604413859,0.998842267
0.860572034,0.993384774
1.116730209,0.986567904
1.29138351,0.971719463
1.335629013,0.939665968
1.432769515,0.905542943
1.629046559,0.893495521
1.885204734,0.890162056
2.141362909,0.885809058
2.397521084,0.883580088
2.653679259,0.875760676
2.909837434,0.86105375
3.165995609,0.842314003
3.422153784,0.837451239
3.678311959,0.834032813
3.934470134,0.829679815
4.190628309,0.826686195
4.36528161,0.8151391
4.539934911,0.800066119
4.737875319,0.788630489
4.831023746,0.761131222
4.917703533,0.733932858
5.056908682,0.713917703
5.308409436,0.713430799
5.564567611,0.704631503
5.820725786,0.692660325
6.076883961,0.686862988
6.333042136,0.672994345
6.589200311,0.664478252
6.780154587,0.637989474
6.899695068,0.622590859
7.03165534,0.599839307
7.217952195,0.57853352
7.47411037,0.576219589
7.730268545,0.574670308
7.98642672,0.563690343
8.242584895,0.5528803
8.49874307,0.550481408
8.754901245,0.545193837
8.989563629,0.523659131
9.185712721,0.506878395
9.243930488,0.490015928
9.500088663,0.486002774
9.756246838,0.485982793
10.01240501,0.476787012
10.26856319,0.46835588
10.52472136,0.464427688
10.78087954,0.459479962
11.03703771,0.447820308
11.26990878,0.439160834
11.46552048,0.415678663
11.71236381,0.406051723
11.96852199,0.405097169
12.22468016,0.396241232
12.48083834,0.393332573
12.73699651,0.389829186
12.99315469,0.386835566
13.24931286,0.387308359
13.50547104,0.380168637
13.76162921,0.369103711
13.94792607,0.361687933
14.0643616,0.34268551
14.32051977,0.340937986
14.57667795,0.342107461
14.83283612,0.340982985
15.0889943,0.339773549
15.34515247,0.336932858
15.60131065,0.315009902
15.85746882,0.307683265
16.113627,0.308088089
16.36978517,0.308407953
16.60265624,0.308953049
16.74237888,0.282720632
16.99853706,0.281001429
17.25469523,0.280811525
17.51085341,0.278837439
17.76701158,0.278817458
18.02316976,0.278797476
18.27932793,0.278777495
18.53548611,0.278757514
18.79164428,0.278737533
19.04780246,0.280161891
19.24574287,0.282284639
