x,y
0.202314214,1.000340322
0.582386095,1.000003396
0.962457976,0.995370653
1.342529857,0.992422545
1.722601739,0.988884814
2.10267362,0.980714341
2.482745501,0.970775003
2.862817382,0.957382166
3.242889263,0.948453608
3.622961145,0.941378147
4.003033026,0.9369981
4.383104907,0.925626823
4.763176788,0.917091347
5.143248669,0.909538573
5.523320551,0.897661906
5.903392432,0.893703017
6.283464313,0.876519755
6.663536194,0.862368833
7.043608075,0.850744861
7.423679957,0.84316401
7.803751838,0.837604719
8.183823719,0.828844624
8.5638956,0.828002308
8.943967481,0.825812284
9.324039363,0.815704482
9.704111244,0.800205854
10.08418313,0.791614222
10.46425501,0.775104813
10.84432689,0.757753087
11.22439877,0.746466042
11.60447065,0.729956633
11.98454253,0.720017295
12.36461441,0.712689139
12.74468629,0.703086728
13.12475817,0.693400085
13.50483006,0.682534198
13.88490194,0.675964127
14.26497382,0.672005238
14.6450457,0.658780865
15.02511758,0.649768075
15.40518946,0.635701385
15.78526134,0.631574033
16.16533322,0.631574033
16.54540511,0.630563252
16.92547699,0.626688595
17.30554887,0.621718926
17.68562075,0.608747248
18.06569263,0.597797129
18.44576451,0.59030051
18.82583639,0.588868571
19.20590827,0.578423843
19.58598016,0.564609848
19.96605204,0.556018217
20.34612392,0.552177252
20.7261958,0.548690061
21.10626768,0.548521597
21.48633956,0.548016207
21.86641144,0.544057318
22.24648332,0.544478477
22.6265552,0.542204221
23.00662709,0.537150321
23.38669897,0.530411786
23.76677085,0.528137531
24.14684273,0.528137531
24.52691461,0.527969068
24.90698649,0.527800604
25.28705837,0.528390226
25.66713025,0.528137531
26.04720214,0.527969068
26.42727402,0.528221763
26.8073459,0.527547909
27.18741778,0.525947507
27.56748966,0.525947507
27.94756154,0.526789824
28.32763342,0.525863276
28.7077053,0.527547909
28.91501724,0.528727153
