a_value,price_drug,EV_ct_pp,EV_nt_pp,EV_update_pp
0.1,10.393419127633651,25214.604218112276,42665.211993215475,54746.23401432753
0.1,11.135806208178911,25214.604218112276,40055.308154141756,53075.51627439795
0.1,11.878193288724173,25214.604218112276,37445.41333947323,51458.761394265995
0.1,12.620580369269435,25214.604218112276,34835.52758116089,49901.11941114518
0.1,13.362967449814695,25214.604218112276,32225.650907547148,48402.312407588906
0.1,14.105354530359957,25214.604218112276,29615.78334330768,46959.16600238735
0.1,14.847741610905219,25214.604218112276,27005.924909400546,45576.06428326856
0.1,15.59012869145048,25214.604218112276,24396.07562302275,44249.09160776918
0.1,16.33251577199574,25214.604218112276,21786.235497574562,42980.25622968577
0.1,17.074902852541005,25214.604218112276,19176.404542631186,41770.39865372428
0.1,17.817289933086265,25214.604218112276,16566.582763923092,40618.196871295324
0.1,18.559677013631525,25214.604218112276,13956.770163323647,39525.1720256939
0.1,19.30206409417679,25214.604218112276,11346.966738845322,38488.57438652636
0.2,10.393419127633651,25214.604218112276,42645.91272055386,48805.79035062305
0.2,11.135806208178911,25214.604218112276,40036.03422077905,46988.70923645359
0.2,11.878193288724173,25214.604218112276,37426.162102222355,45245.10831008772
0.2,12.620580369269435,25214.604218112276,34816.29638747653,43580.663487079284
0.2,13.362967449814695,25214.604218112276,32206.437096582682,41998.149517598176
0.2,14.105354530359957,25214.604218112276,29596.58424698916,40501.9367807162
0.2,14.847741610905219,25214.604218112276,26986.73785351554,39089.58599752126
0.2,15.59012869145048,25214.604218112276,24376.897928321956,37761.50957300629
0.2,16.33251577199574,25214.604218112276,21767.064480883822,36518.595246589
0.2,17.074902852541005,25214.604218112276,19157.23751797182,35360.6495062594
0.2,17.817289933086265,25214.604218112276,16547.417043638008,34288.049420027375
0.2,18.559677013631525,25214.604218112276,13937.60305920707,33297.069422882734
0.2,19.30206409417679,25214.604218112276,11327.795563273587,32386.7995681287
0.30000000000000004,10.393419127633651,25214.604218112276,42637.36282542555,46328.89167227654
0.30000000000000004,11.135806208178911,25214.604218112276,40027.495551376815,44386.4522976254
0.30000000000000004,11.878193288724173,25214.604218112276,37417.63348757085,42536.34666447224
0.30000000000000004,12.620580369269435,25214.604218112276,34807.77665245458,40780.450304598824
0.30000000000000004,13.362967449814695,25214.604218112276,32197.925062391452,39125.1165665563
0.30000000000000004,14.105354530359957,25214.604218112276,29588.078731628048,37577.46622791185
0.30000000000000004,14.847741610905219,25214.604218112276,26978.23767226447,36138.61396823343
0.30000000000000004,15.59012869145048,25214.604218112276,24368.4018942294,34808.15008752856
0.30000000000000004,16.33251577199574,25214.604218112276,21758.571405259532,33586.93561651658
0.30000000000000004,17.074902852541005,25214.604218112276,19148.74621088306,32474.917794755285
0.30000000000000004,17.817289933086265,25214.604218112276,16538.926314408513,31469.41062525246
0.30000000000000004,18.559677013631525,25214.604218112276,13929.111716917465,30567.477128489165
0.30000000000000004,19.30206409417679,25214.604218112276,11319.3024172624,29765.13731970835
0.4,10.393419127633651,25214.604218112276,42632.26607398288,44979.90036130929
0.4,11.135806208178911,25214.604218112276,40022.40549179815,42928.78219740849
0.4,11.878193288724173,25214.604218112276,37412.549421816024,40977.75488036633
0.4,12.620580369269435,25214.604218112276,34802.69788001201,39139.06769756183
0.4,13.362967449814695,25214.604218112276,32192.850880557267,37415.95928774944
0.4,14.105354530359957,25214.604218112276,29583.008435789685,35819.04832817235
0.4,14.847741610905219,25214.604218112276,26973.170556188255,34354.418936108625
0.4,15.59012869145048,25214.604218112276,24363.337250351495,33021.01912458777
0.4,16.33251577199574,25214.604218112276,21753.508524979563,31820.06862966764
0.4,17.074902852541005,25214.604218112276,19143.684384860007,30750.754220249837
0.4,17.817289933086265,25214.604218112276,16533.864832858104,29808.758183209407
0.4,18.559677013631525,25214.604218112276,13924.049869910526,28988.931946788216
0.4,19.30206409417679,25214.604218112276,11314.239495023496,28280.891309141047
0.5,10.393419127633651,25214.604218112276,42628.7878807444,44157.14183852304
0.5,11.135806208178911,25214.604218112276,40018.93186531096,42012.00765642462
0.5,11.878193288724173,25214.604218112276,37409.07988571421,39970.98479383805
0.5,12.620580369269435,25214.604218112276,34799.23195624309,38051.616327526805
