a_value,price_drug,EV_ct_pp,EV_nt_pp,EV_update_pp
1.0,10.393419127633651,25214.604218112276,42620.156983626875,42781.7401809292
1.0,11.135806208178911,25214.604218112276,40010.312300272395,40319.51214333802
1.0,11.878193288724173,25214.604218112276,37400.47047068543,37949.46564337048
1.0,12.620580369269435,25214.604218112276,34790.63150496975,35701.53117541692
1.0,13.362967449814695,25214.604218112276,32180.795412087995,33621.09861701076
1.0,14.105354530359957,25214.604218112276,29570.962199843336,31752.443654745508
1.0,14.847741610905219,25214.604218112276,26961.131874863266,30129.330283968007
1.0,15.59012869145048,25214.604218112276,24351.30444258595,28775.594803692216
1.0,16.33251577199574,25214.604218112276,21741.479907248984,27692.222708142443
1.0,17.074902852541005,25214.604218112276,19131.65827188022,26865.321982743026
1.0,17.817289933086265,25214.604218112276,16521.839538291864,26261.814050218378
1.0,18.559677013631525,25214.604218112276,13912.0237070763,25848.86317232669
1.0,19.30206409417679,25214.604218112276,11302.210777605,25580.901874739735
