a_value,price_drug,relative_price,EV_total,policy_indicator
0.9,14.84774161090522,0,16.128974120473117,Policy 1
0.9,15.59012869145048,5,16.071247733572363,Policy 1
0.9,16.33251577199574,10,16.023931338259803,Policy 1
0.9,17.074902852541005,15,15.986597607723242,Policy 1
0.9,17.817289933086265,20,15.958111184058732,Policy 1
0.9,18.559677013631525,25,15.937399409856774,Policy 1
0.9,19.30206409417679,30,15.922948738672659,Policy 1
1.0,10.393419127633653,-30,16.65114472710549,Policy 1
1.0,11.135806208178913,-25,16.54652837225257,Policy 1
1.0,11.878193288724171,-20,16.4457985786703,Policy 1
1.0,12.620580369269437,-15,16.350217276646305,Policy 1
1.0,13.362967449814697,-10,16.26169819538284,Policy 1
1.0,14.105354530359955,-5,16.182108087534363,Policy 1
1.0,14.84774161090522,0,16.112870511554668,Policy 1
1.0,15.59012869145048,5,16.05499045410567,Policy 1
1.0,16.33251577199574,10,16.00850946562184,Policy 1
1.0,17.074902852541005,15,15.972841830623528,Policy 1
1.0,17.817289933086265,20,15.946592889274116,Policy 1
1.0,18.559677013631525,25,15.928378220322285,Policy 1
1.0,19.30206409417679,30,15.916276606727653,Policy 1
0.1,10.393419127633653,-30,17.288289940113298,Policy 2
0.1,11.135806208178913,-25,17.144636862760233,Policy 2
0.1,11.878193288724171,-20,17.00222637636317,Policy 2
0.1,12.620580369269437,-15,16.86117703627571,Policy 2
0.1,13.362967449814697,-10,16.721482445969308,Policy 2
0.1,14.105354530359955,-5,16.583069532054147,Policy 2
0.1,14.84774161090522,0,16.4460392172525,Policy 2
0.1,15.59012869145048,5,16.310301364008975,Policy 2
0.1,16.33251577199574,10,16.17590220294762,Policy 2
0.1,17.074902852541005,15,16.04286108290684,Policy 2
0.1,17.817289933086265,20,15.911147571426184,Policy 2
0.1,18.559677013631525,25,15.780796685361587,Policy 2
0.1,19.30206409417679,30,15.651745125727608,Policy 2
0.2,10.393419127633653,-30,17.150762821774556,Policy 2
0.2,11.135806208178913,-25,17.003741474911394,Policy 2
0.2,11.878193288724171,-20,16.858411902153023,Policy 2
