a_value,price_drug,sample_size_new,EVPI_pp,EVSI_pp,EVPI,EVSI,ENBS,intro_drug,maintain_drug,drug_cost_per_cycle
1.0,10.0,619,909.6414958131428,-264.9930989626155,0.5737926717614346,-0.167154971438699,3.0509945593759307,8992.538,8965.7,8.968682000000001
1.0,10.5,619,1151.8822943120613,-195.11906421202,0.7265957217762836,-0.1230791357706532,2.7659628535340195,9092.538,9065.7,9.068682
1.0,11.0,619,1443.2064366180712,-93.69694578173949,0.9103600495161336,-0.0591030874288901,2.4862516721972887,9192.538,9165.7,9.168682
1.0,11.5,619,1786.963198259873,47.58004319914471,1.127198344169993,0.0300130108789252,2.213261939223904,9292.538,9265.7,9.268682
1.0,12.0,619,2188.352097866184,241.11204214633472,1.3803904095941923,0.152091041903634,1.949084914618702,9392.538,9365.7,9.368682000000002
1.0,12.5,619,2650.3372908971287,505.4750909166323,1.6718060051266777,0.3188485840420451,1.696853412287937,9492.538,9465.7,9.468682000000001
1.0,13.0,619,3175.9000020495805,851.529476201591,2.0033256572076064,0.5371361964930562,1.4583989989937172,9592.538,9565.7,9.568682
1.0,13.5,619,3769.864123553471,1292.639500850597,2.3779922283533006,0.8153839465672217,1.2359755390761604,9692.538,9665.7,9.668682
1.0,14.0,619,4435.578944020541,1837.828828347876,2.797918416005419,1.1592838700869197,1.0311048562752418,9792.538,9765.7,9.768682
1.0,14.5,619,5172.2762760275255,2498.284550842338,3.262619655293036,1.5758926718340998,0.845673632473896,9892.538,9865.7,9.868682000000002
1.0,15.0,619,5989.528473094728,3281.1927975755134,3.778134090173676,2.069743289582709,0.6808937947455825,9992.538,9965.7,9.968682000000001
1.0,15.5,619,6061.962114016267,3369.830416716897,3.823824499572409,2.125655004846141,0.5380231976799889,10092.538,10065.7,10.068682
1.0,16.0,619,5275.655966315135,2653.3772600729462,3.327830520198633,1.6737235869910645,0.4166505240190506,10192.538,10165.7,10.168682
1.0,16.5,619,4566.66349225619,2052.386046171967,2.8806052255946604,1.294624396907251,0.3147502881143036,10292.538,10265.7,10.268682
1.0,17.0,619,3928.600019335401,1556.8283268028572,2.478121228805,0.9820315907109792,0.2306312111864204,10392.538,10365.7,10.368682000000002
1.0,17.5,619,3357.726891572744,1158.2475654833434,2.1180202233831564,0.730610870566952,0.1628671143891678,10492.538,10465.7,10.468682000000001
1.0,18.0,619,2849.125107272648,842.9349765262014,1.797199352722115,0.5317148728684272,0.1091460370048866,10592.538,10565.7,10.568682
1.0,18.5,619,2400.9012263273653,598.3262162632345,1.5144642539181967,0.3774181364799067,0.0673490262928237,10692.538,10665.7,10.668682
1.0,19.0,619,2011.585574362656,413.3350026188127,1.268887871214056,0.260727546595881,0.0356064017977981,10792.538,10765.7,10.768682
1.0,19.5,619,1671.083033990366,280.7418750754623,1.0541023064821824,0.1770891404100531,0.012700615189846,10892.538,10865.7,10.868682000000002
1.0,20.0,619,1379.0308966841658,186.78978026904952,0.8698787668460954,0.1178251075523996,-0.0036884345008964,10992.538,10965.7,10.968682000000001
0.75,10.0,619,1840.795682177726,33.07085088560416,1.161155331529247,0.0208607588532579,3.101315595204155,8992.538,8965.7,8.968682000000001
0.75,10.5,619,2136.540802616175,141.96154840401869,1.3477083676405677,0.0895479114805738,2.82286398229982,9092.538,9065.7,9.068682
0.75,11.0,619,2479.4977778354296,286.87242777074425,1.5640421650937784,0.1809562311557931,2.550487104778793,9192.538,9165.7,9.168682
0.75,11.5,619,2872.5955620615423,477.6810726925396,1.812004278643768,0.3013163979564356,2.28585079840778,9292.538,9265.7,9.268682
0.75,12.0,619,3317.1182140445235,727.9052513889837,2.092404679586106,0.4591552835991775,2.031234809170643,9392.538,9365.7,9.368682000000002
0.75,12.5,619,3816.4646672701856,1047.7752633862035,2.407387380847797,0.6609260577393552,1.7883644576883275,9492.538,9465.7,9.468682000000001
0.75,13.0,619,4374.178580142419,1446.7220757205214,2.7591876863730183,0.9125776791678468,1.5588302586727256,9592.538,9565.7,9.568682
0.75,13.5,619,4992.543861224298,1931.321816190652,3.1492462626248727,1.2182583029070837,1.3437412636103707,9692.538,9665.7,9.668682
0.75,14.0,619,5672.069997557635,2510.26599494226,3.5778844888855232,1.5834504458069203,1.144563279210369,9792.538,9765.7,9.768682
0.75,14.5,619,6413.275993618099,3190.735333308705,4.04542974793832,2.012683634387429,0.9625073205127068,9892.538,9865.7,9.868682000000002
0.75,15.0,619,7225.522650853472,3978.0041211883618,4.557786738829286,2.509284837466941,0.7984628865099945,9992.538,9965.7,9.968682000000001
0.75,15.5,619,7282.991322929516,4054.329149094068,4.594037396967543,2.557429894487601,0.6535158010019035,10092.538,10065.7,10.068682
0.75,16.0,619,6471.421087271756,3308.055932597937,4.08210708597854,2.0866882839429604,0.5271140375061493,10192.538,10165.7,10.168682
0.75,16.5,619,5725.957745666896,2665.778619305805,3.611876336338766,1.6815462391902527,0.4182509859351196,10292.538,10265.7,10.268682
