x,y
0.755146041,0.99318063
0.962457976,0.992927935
1.791705717,0.978187391
2.085397625,0.968219976
2.32726155,0.953433806
2.759161415,0.940451599
3.139233296,0.924531811
3.484753188,0.911970762
3.92701865,0.884336454
4.229540511,0.861975751
4.555864853,0.843959531
5.523320551,0.82058992
5.903392432,0.808460558
6.283464313,0.800627012
6.663536194,0.78495992
7.026332081,0.771390196
7.389127967,0.754552284
7.665543881,0.739794894
8.002425776,0.721912508
8.322031676,0.71723765
8.667551568,0.703947763
8.926691487,0.681144376
9.099451433,0.659486305
9.358591352,0.647325357
9.692593914,0.640839517
10.0553898,0.620146601
10.37787503,0.606557224
10.70611893,0.593585545
11.08619081,0.588363181
11.37988272,0.584165636
12.88289425,0.572611857
13.26296613,0.567810652
13.63958281,0.551705555
14.02310989,0.547258122
14.38936098,0.547258122
14.78325366,0.540266893
15.11149755,0.53857173
15.64705339,0.522157082
16.04632082,0.504430993
16.40719715,0.500930699
16.78726903,0.498066822
17.16734091,0.480378169
17.5301368,0.4641379
17.89293268,0.446095876
18.25572857,0.432180802
18.61852446,0.414256301
18.99859634,0.406591218
19.37866822,0.40768623
19.7587401,0.406422755
20.13881198,0.402510394
20.51888386,0.390502968
20.90586614,0.38529745
21.27902763,0.375341266
21.60727152,0.364843893
21.85873322,0.347947252
22.21193133,0.348134433
22.59200322,0.341143204
22.9720751,0.334151975
23.35214698,0.333646585
23.73221886,0.333815048
24.11229074,0.332383109
24.49236262,0.33339389
24.8724345,0.334320438
25.25250638,0.334067743
25.63257827,0.33389928
26.01265015,0.334151975
26.39272203,0.333983511
26.77279391,0.332298878
27.15286579,0.33339389
27.53293767,0.332551573
27.91300955,0.333562353
28.27580544,0.334099029
